Geography,Date,Harris,Trump,Pollster,Sample Size
National,8/23/2024,53%,47%,ActiVote,1000
National,8/22/2024,48%,46%,RMG Research,2404
National,8/22/2024,50%,44%,Outward Intelligence,1867
National,8/21/2024,47%,44%,Redfield & Wilton Strategies,1275
National,8/21/2024,47%,39%,The Bullfinch Group,1000
National,8/20/2024,46%,43%,YouGov,1371
National,8/20/2024,50%,43%,Fairleigh Dickinson University,801
National,8/18/2024,50%,48%,SoCal Strategies,876
National,8/18/2024,48%,44%,Morning Consult,11501
National,8/18/2024,46%,42%,Big Village,1530
National,8/16/2024,49%,47%,YouGov,3253
National,8/15/2024,45%,44%,Redfield & Wilton Strategies,1238
National,8/15/2024,48%,44%,Morning Consult,4000
National,8/15/2024,49%,43%,Outward Intelligence,1858
National,8/15/2024,47%,43%,Embold Research,2696
National,8/15/2024,47%,43%,Data for Progress,6067
National,8/14/2024,45%,46%,RMG Research,2708
National,8/14/2024,48%,44%,Emerson College,1000
National,8/14/2024,52%,48%,ActiVote,1000
National,8/13/2024,46%,44%,YouGov,1407
National,8/13/2024,47%,44%,Ipsos,1975
National,8/12/2024,47%,44%,Morning Consult,4000
National,8/12/2024,45%,45%,Beacon Research/Shaw & Company Research,1105
National,8/11/2024,47%,44%,Big Village,757
National,8/11/2024,41%,43%,J.L. Partners,1001
National,8/11/2024,46%,45%,Pew Research Center,7569
National,8/9/2024,48%,44%,Morning Consult,4000
National,8/8/2024,47%,46%,Quantus Polls and News,1000
National,8/8/2024,44%,44%,Cygnal,1500
National,8/7/2024,47%,44%,Redfield & Wilton Strategies,2584
National,8/7/2024,47%,46%,RMG Research,2000
National,8/7/2024,42%,37%,Ipsos,1342
National,8/6/2024,45%,43%,YouGov,1413
National,8/6/2024,48%,44%,Morning Consult,4000
National,8/6/2024,45%,44%,ActiVote,1000
National,8/5/2024,48%,45%,SurveyUSA,1510
National,8/4/2024,48%,45%,Marist College,1513
National,8/4/2024,46%,48%,Hart Research Associates/Public Opinion Strategies,1001
National,8/3/2024,45%,44%,HarrisX,1011
National,8/3/2024,47%,44%,Morning Consult,4000
National,8/2/2024,44%,42%,TIPP Insights,1326
National,8/2/2024,49%,47%,YouGov,3092
National,8/1/2024,46%,43%,University of Massachusetts Department of Political Science/YouGov,1000
National,8/1/2024,50%,42%,Marquette University Law School,683
National,7/31/2024,47%,42%,RMG Research,3000
National,7/31/2024,46%,44%,Morning Consult,4000
National,7/30/2024,46%,44%,YouGov,1434
National,7/30/2024,49%,45%,Civiqs,1123
National,7/30/2024,43%,42%,YouGov/Johns Hopkins University SNF Agora Institute,2000
National,7/29/2024,45%,43%,Redfield & Wilton Strategies,1750
National,7/29/2024,46%,47%,American Pulse Research & Polling,1035
National,7/29/2024,44%,46%,ActiVote,1000
National,7/29/2024,41%,42%,McLaughlin & Associates,1000
National,7/28/2024,47%,46%,Morning Consult,11538
National,7/28/2024,48%,41%,Leger,786
National,7/1/1938,43%,42%,Ipsos,876
National,7/28/2024,43%,47%,HarrisX/Harris Poll,2196
National,7/28/2024,44%,45%,Big Data Poll,2919
National,7/27/2024,44%,43%,Florida Atlantic University PolCom Lab/Mainstreet Research,952
National,7/26/2024,48%,47%,Clarity Campaign Labs,995
National,7/25/2024,38%,38%,Ipsos,1238
National,7/25/2024,46%,45%,Morning Consult,4000
National,7/25/2024,45%,44%,"Fabrizio, Lee & Associates/GBAO",1000
National,7/25/2024,46%,48%,AtlasIntel,1980
National,7/25/2024,44%,42%,Angus Reid Global,1743
National,7/25/2024,45%,46%,HarrisX,2472
National,7/24/2024,44%,43%,The New York Times/Siena College,1142
National,7/24/2024,38%,39%,SurveyMonkey,5265
National,7/24/2024,44%,43%,Change Research,2137
National,7/24/2024,43%,44%,Big Village,1492
National,7/23/2024,44%,46%,YouGov,1155
National,7/23/2024,46%,48%,RMG Research,2000
National,7/23/2024,42%,38%,Ipsos,1018
National,7/23/2024,41%,44%,YouGov,1435
National,7/23/2024,50%,51%,ActiVote,1000
National,7/22/2024,42%,42%,Marist College,1117
National,7/22/2024,45%,47%,Morning Consult,4001
National,7/22/2024,41%,43%,YouGov,1178
National,7/21/2024,37%,43%,SoCal Research,800
National,7/21/2024,41%,45%,Quinnipiac University,1257
National,7/21/2024,46%,54%,HarrisX,2169
National,7/21/2024,39%,45%,Florida Atlantic University PolCom Lab/Mainstreet Research,711
National,7/21/2024,47%,49%,Echelon Insights,982
