Geography,Date,Harris,Trump,Pollster,Sample Size
National,9/15/2024,51%,43%,Big Village,1568
Nevada,9/13/2024,45%,44%,Trafalgar Group,1079
New Hampshire,9/12/2024,51%,43%,Saint Anselm College Survey Center,2241
National,9/13/2024,51%,46%,Ipsos,2196
New Mexico,9/13/2024,49%,39%,Research & Polling,532
Iowa,9/11/2024,43%,47%,Selzer & Co.,656
National,9/13/2024,49%,45%,YouGov,1090
National,9/13/2024,45%,41%,TIPP Insights,1721
National,9/12/2024,47%,51%,AtlasIntel,1775
North Carolina,9/13/2024,46%,49%,TIPP Insights,973
Arizona,9/12/2024,46%,47%,Trafalgar Group,1088
Wisconsin,9/12/2024,49%,47%,InsiderAdvantage,800
National,9/13/2024,50%,46%,Data for Progress,1283
National,9/12/2024,44%,42%,Redfield & Wilton Strategies,1952
National,9/12/2024,51%,47%,RMG Research,2756
North Carolina,9/12/2024,46%,48%,Trafalgar Group,1094
North Carolina,9/12/2024,47%,48%,Quantus Polls and News,815
New Hampshire,9/12/2024,51%,43%,Saint Anselm College Survey Center,2241
Alaska,9/12/2024,42%,47%,Alaska Survey Research,1254
Missouri,9/12/2024,44%,55%,GQR,645
Michigan,9/11/2024,47%,46%,Mitchell Research & Communications,580
Michigan,9/1/2024,47%,46%,Cygnal,600
Minnesota,9/8/2024,49%,45%,Embold Research,1616
Arkansas,9/6/2024,40%,55%,Hendrix College,696
Indiana,9/2/2024,42%,52%,Lake Research Partners,600
Texas,8/29/2024,43%,51%,Lake Research Partners,800
National,9/12/2024,47%,42%,Ipsos,1405
National,9/11/2024,50%,45%,Morning Consult,3317
National,9/11/2024,49%,45%,YouGov,1022
National,9/10/2024,50%,46%,Morning Consult,3204
Michigan,9/12/2024,48%,49%,InsiderAdvantage,800
National,9/11/2024,48%,45%,SoCal Strategies,719
National,9/11/2024,50%,47%,Leger,1174
National,9/10/2024,45%,45%,YouGov,1464
National,9/5/2024,46%,44%,Cygnal,1510
Virginia,9/6/2024,49%,36%,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,749
Wisconsin,9/5/2024,48%,43%,Marquette University Law School,738
Wisconsin,9/9/2024,49%,46%,Redfield & Wilton Strategies,626
Wisconsin,9/6/2024,47%,47%,co/efficient,917
Pennsylvania,9/9/2024,45%,45%,Redfield & Wilton Strategies,801
Pennsylvania,9/6/2024,46%,48%,co/efficient,889
North Carolina,9/9/2024,45%,44%,Redfield & Wilton Strategies,495
New Mexico,9/9/2024,49%,44%,Redfield & Wilton Strategies,521
Nevada,9/9/2024,45%,46%,Redfield & Wilton Strategies,698
Minnesota,9/9/2024,51%,44%,Redfield & Wilton Strategies,617
Michigan,9/9/2024,48%,45%,Redfield & Wilton Strategies,556
Michigan,9/6/2024,47%,47%,co/efficient,931
Georgia,9/10/2024,50%,50%,ActiVote,400
Georgia,9/9/2024,47%,49%,Redfield & Wilton Strategies,562
Florida,9/9/2024,44%,50%,Redfield & Wilton Strategies,1465
Arizona,9/9/2024,46%,47%,Redfield & Wilton Strategies,765
National,9/9/2024,51%,49%,ActiVote,1000
National,9/8/2024,49%,46%,Morning Consult,10607
National,9/5/2024,49%,46%,Morning Consult,10862
National,9/5/2024,49%,48%,Marist College,1413
National,9/4/2024,44%,41%,SurveyMonkey,18123
National,9/4/2024,48%,47%,KFF,1084
National,9/2/2024,50%,45%,Morning Consult,12084
National,8/30/2024,49%,46%,Morning Consult,11214
National,8/27/2024,49%,45%,Morning Consult,7148
National,8/24/2024,50%,45%,Morning Consult,9963
National,8/21/2024,49%,46%,Morning Consult,9928
National,8/18/2024,49%,45%,Morning Consult,10195
National,8/15/2024,49%,45%,Morning Consult,9636
National,8/12/2024,49%,45%,Morning Consult,10440
National,8/9/2024,50%,45%,Morning Consult,9795
National,8/6/2024,49%,45%,Morning Consult,10013
National,8/3/2024,48%,46%,Morning Consult,9394
National,7/31/2024,48%,45%,Morning Consult,9998
National,7/28/2024,48%,46%,Morning Consult,10106
National,7/25/2024,48%,46%,Morning Consult,10054
Virginia,9/8/2024,50%,42%,The Washington Post/George Mason University Schar School of Policy and Government,1005
National,9/8/2024,49%,45%,Big Village,1546
National,9/5/2024,49%,49%,HarrisX/Harris Poll,2358
National,9/2/2024,49%,49%,Pew Research Center,8044
North Carolina,9/8/2024,49%,46%,Quinnipiac University,940
North Carolina,9/8/2024,48%,48%,Morning Consult,1369
North Carolina,9/7/2024,49%,46%,SurveyUSA,900
North Carolina,9/6/2024,47%,48%,Florida Atlantic University PolCom Lab/Mainstreet Research,619
Georgia,9/8/2024,45%,49%,Quinnipiac University,969
Georgia,9/8/2024,48%,48%,Morning Consult,1405
Georgia,9/6/2024,45%,47%,Florida Atlantic University PolCom Lab/Mainstreet Research,567
Wisconsin,9/8/2024,49%,46%,Morning Consult,638
Wisconsin,8/23/2024,49%,45%,YouGov,500
Wisconsin,8/21/2024,48%,45%,BK Strategies,600
Virginia,9/8/2024,52%,42%,Morning Consult,873
Texas,9/8/2024,43%,52%,Morning Consult,2940
Pennsylvania,9/8/2024,49%,46%,Morning Consult,1910
Pennsylvania,8/23/2024,48%,46%,YouGov,500
Ohio,9/8/2024,44%,52%,Morning Consult,1558
Nevada,9/8/2024,48%,48%,Morning Consult,516
Minnesota,9/8/2024,51%,44%,Morning Consult,501
Michigan,9/8/2024,49%,46%,Morning Consult,1368
Michigan,8/23/2024,47%,46%,YouGov,500
Maryland,9/8/2024,62%,34%,Morning Consult,640
Florida,9/8/2024,49%,47%,Morning Consult,3182
Colorado,9/8/2024,55%,40%,Morning Consult,498
Arizona,9/8/2024,47%,49%,Morning Consult,901
Wisconsin,9/6/2024,51%,49%,YouGov,946
Pennsylvania,9/6/2024,50%,50%,YouGov,1078
Michigan,9/6/2024,50%,49%,YouGov,1077
National,9/6/2024,45%,47%,The New York Times/Siena College,1695
National,9/3/2024,47%,47%,Big Data Poll,3047
Arizona,9/5/2024,48%,48%,TIPP Insights,949
National,9/5/2024,50%,48%,RMG Research,2701
National,9/3/2024,48%,45%,Morning Consult,4000
National,8/31/2024,48%,45%,Morning Consult,4000
National,8/28/2024,48%,45%,Morning Consult,4000
Ohio,9/5/2024,45%,54%,Emerson College,945
Texas,9/5/2024,48%,51%,Emerson College,845
Texas,8/31/2024,44%,49%,YouGov,1200
Florida,9/5/2024,48%,51%,Emerson College,815
California,9/5/2024,61%,38%,Emerson College,815
National,9/5/2024,51%,45%,Outward Intelligence,1890
National,9/4/2024,51%,48%,Emerson College,1000
National,9/4/2024,49%,46%,Morning Consult,11414
National,9/3/2024,49%,47%,Patriot Polling,1003
National,9/1/2024,47%,46%,McLaughlin & Associates,1778
Nevada,9/3/2024,47%,47%,Patriot Polling,788
Arizona,9/3/2024,47%,49%,Patriot Polling,804
Georgia,9/3/2024,48%,49%,Patriot Polling,814
North Carolina,9/3/2024,48%,50%,Patriot Polling,804
Wisconsin,9/3/2024,48%,48%,Patriot Polling,826
Wisconsin,8/26/2024,47%,47%,Z to A Research,518
Michigan,9/3/2024,48%,48%,Patriot Polling,822
Michigan,8/26/2024,47%,47%,Z to A Research,500
Pennsylvania,9/3/2024,48%,49%,Patriot Polling,857
Pennsylvania,8/26/2024,46%,46%,Z to A Research,613
Alaska,9/1/2024,43%,53%,Cygnal,400
Montana,8/29/2024,41%,56%,Fabrizio Ward/David Binder Research,600
Maryland,8/30/2024,56%,35%,Gonzales Research & Marketing Strategies,820
Michigan,8/28/2024,44%,45%,Glengariff Group,600
North Carolina,8/28/2024,47%,48%,East Carolina University Center for Survey Research,920
National,9/3/2024,47%,45%,YouGov,1389
National,9/3/2024,50%,50%,Big Data Poll,3047
Oklahoma,8/31/2024,40%,56%,SoonerPoll,323
Wisconsin,8/29/2024,50%,44%,CNN/SSRS,976
Pennsylvania,8/29/2024,47%,47%,CNN/SSRS,789
Nevada,8/29/2024,48%,47%,CNN/SSRS,626
Michigan,8/29/2024,48%,43%,CNN/SSRS,708
Georgia,8/29/2024,48%,47%,CNN/SSRS,617
Arizona,8/29/2024,44%,49%,CNN/SSRS,682
National,9/2/2024,51%,49%,ActiVote,1000
National,8/30/2024,47%,43%,TIPP Insights,1386
National,8/29/2024,44%,42%,Redfield & Wilton Strategies,2078
Ohio,9/1/2024,43%,52%,SoCal Strategies,600
California,8/26/2024,58%,36%,Capitol Weekly,3154
Nebraska-2,8/27/2024,47%,42%,SurveyUSA,507
National,8/27/2024,52%,46%,Ipsos,2496
Arizona,8/31/2024,48%,49%,InsiderAdvantage,800
Nevada,8/31/2024,47%,48%,InsiderAdvantage,800
Georgia,8/31/2024,48%,48%,InsiderAdvantage,800
North Carolina,8/31/2024,48%,49%,InsiderAdvantage,800
North Carolina,8/31/2024,50%,50%,ActiVote,400
Florida,8/31/2024,47%,53%,ActiVote,400
Texas,8/31/2024,46%,55%,ActiVote,400
Pennsylvania,8/30/2024,45%,47%,Trafalgar Group,1082
Michigan,8/30/2024,47%,47%,Trafalgar Group,1089
Wisconsin,8/30/2024,46%,47%,Trafalgar Group,1083
Texas,8/30/2024,44%,52%,Quantus Polls and News,1000
Pennsylvania,8/29/2024,47%,48%,Wick,1607
Pennsylvania,8/28/2024,46%,45%,Redfield & Wilton Strategies,1071
Minnesota,8/29/2024,48%,43%,SurveyUSA,635
Minnesota,8/28/2024,51%,42%,Redfield & Wilton Strategies,426
Illinois,8/29/2024,58%,42%,ActiVote,400
Tennessee,8/29/2024,37%,63%,ActiVote,400
National,8/28/2024,51%,48%,RMG Research,2441
National,8/28/2024,51%,45%,Clarity Campaign Labs,1238
National,8/28/2024,45%,41%,Ipsos,3562
National,8/26/2024,48%,43%,Change Research,2626
National,8/25/2024,50%,46%,Leger,863
Wisconsin,8/28/2024,48%,44%,Redfield & Wilton Strategies,672
North Carolina,8/28/2024,44%,45%,Redfield & Wilton Strategies,812
New Mexico,8/28/2024,47%,40%,Redfield & Wilton Strategies,488
Nevada,8/28/2024,47%,47%,Redfield & Wilton Strategies,490
Michigan,8/28/2024,47%,44%,Redfield & Wilton Strategies,761
Michigan,8/26/2024,45%,46%,EPIC-MRA,600
Georgia,8/28/2024,42%,44%,Redfield & Wilton Strategies,699
Florida,8/28/2024,43%,48%,Redfield & Wilton Strategies,850
Florida,8/26/2024,45%,52%,Cherry Communications,600
Arizona,8/28/2024,45%,46%,Redfield & Wilton Strategies,530
West Virginia,8/27/2024,34%,61%,Research America,400
National,8/29/2024,53%,47%,Outward Intelligence,2191
National,8/28/2024,48%,43%,Suffolk University,1000
National,8/28/2024,47%,45%,"Fabrizio, Lee & Associates/GBAO",1500
National,8/28/2024,44%,40%,Ipsos,3562
National,8/27/2024,49%,47%,Quinnipiac University,1611
Wisconsin,8/28/2024,49%,50%,Emerson College,850
Wisconsin,8/26/2024,52%,44%,Morning Consult,648
Wisconsin,8/21/2024,47%,42%,Fabrizio Ward,400
Wisconsin,8/20/2024,46%,42%,Spry Strategies,600
North Carolina,8/28/2024,49%,50%,Emerson College,775
North Carolina,8/26/2024,48%,48%,Morning Consult,645
North Carolina,8/20/2024,47%,45%,Spry Strategies,600
Nevada,8/28/2024,49%,49%,Emerson College,1168
Nevada,8/26/2024,48%,46%,Morning Consult,416
Pennsylvania,8/28/2024,49%,49%,Emerson College,950
Pennsylvania,8/26/2024,51%,46%,Morning Consult,758
Pennsylvania,8/21/2024,43%,43%,Fabrizio Ward,400
Pennsylvania,8/20/2024,46%,45%,Spry Strategies,600
Michigan,8/28/2024,51%,48%,Emerson College,800
Michigan,8/26/2024,49%,47%,Morning Consult,651
Michigan,8/21/2024,44%,43%,Fabrizio Ward,400
Georgia,8/28/2024,50%,49%,Emerson College,800
Georgia,8/26/2024,48%,46%,Morning Consult,737
Georgia,8/20/2024,47%,48%,Spry Strategies,600
Arizona,8/28/2024,48%,51%,Emerson College,720
Arizona,8/27/2024,49%,47%,Morning Consult,776
Arizona,8/20/2024,46%,46%,Spry Strategies,600
Missouri,8/16/2024,41%,54%,YouGov,900
Florida,7/24/2024,42%,47%,Targoz Market Research,988
National,8/28/2024,50%,43%,Big Village,1551
National,8/27/2024,47%,45%,YouGov,1368
