,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,1,-0.577613727,-0.73515539,0.724704548,-0.849618931,-0.513245572,-0.321724811,-0.052419246,-0.484071169,0.818934299,0.890491603,0.365295857,-0.521541235,-0.69954041,-0.172824687,-0.623869158,0.050735702,0.429483957,0.86176791,0.238233331,0.196513915,0.552256902,-0.393510486,-0.447015742,-0.723366239,0.951050551,0.112430557,-0.651728387,-0.632764595,-0.286175941,-0.270771873,-0.348931053,-0.349397283,0.006752415,-0.700052491,0.136131523,0.750220601,-0.461184407,-0.361356358,0.684152273,-0.888708363,-0.186634969,0.27600617,0.813962329,-0.682721309,0.66977562,0.618461225,-0.308521656,-0.386925738,0.739078577,-0.643362169,0.625097293,-0.766188344,-0.406421342
Alaska,-0.577613727,1,0.299291094,-0.632341221,0.512067063,0.754966053,0.225961117,-0.465318997,0.20891301,-0.74827219,-0.684609132,-0.139268448,0.470427385,0.324156701,-0.143166214,0.317212335,-0.076942282,-0.481698354,-0.43222572,0.067979551,0.007127608,-0.262249309,0.277853979,0.267155985,0.521672168,-0.391852278,-0.119409403,0.569157374,0.363218403,0.337041034,0.067900816,0.195487052,0.261063347,-0.2874105,0.369966989,-0.071890818,-0.62155817,0.202847348,0.209040268,-0.517643339,0.668837396,0.21629325,-0.024005053,-0.682899174,0.390608633,-0.698269167,-0.088300507,0.262903008,0.484380754,-0.581760524,0.836092086,-0.493942952,0.399273323,0.430503481
Arizona,-0.73515539,0.299291094,1,-0.346124043,0.635873294,0.461186111,0.145653566,-0.195785686,0.209069662,-0.399703051,-0.639947503,-0.497827407,0.521063982,0.621733431,-0.025203445,0.357208847,0.143802188,-0.514025514,-0.570165678,-0.402491889,-0.383615082,-0.646581904,0.478679548,0.03647516,0.290698771,-0.769102143,-0.216986096,0.512643224,0.546825819,0.252762412,0.342436031,0.63252049,0.562654899,0.079501698,0.628731902,-0.137125568,-0.689498345,0.493200037,-0.064848042,-0.2964377,0.563934342,0.063663259,-0.410349282,-0.706745458,0.622100523,-0.510936812,-0.337019921,0.671711608,-0.121640031,-0.669272818,0.522510781,-0.469549005,0.299529678,0.413228398
Arkansas,0.724704548,-0.632341221,-0.346124043,1,-0.712961066,-0.455188337,-0.603298575,0.049100642,-0.583245993,0.907436778,0.863327404,-0.189312667,-0.21852303,-0.532017209,-0.301459805,-0.520111822,0.284035076,0.666931018,0.743623068,0.013772133,0.175554224,0.09735273,-0.422050294,-0.534702721,-0.489781188,0.55264549,0.319872888,-0.45456801,-0.486346358,-0.593268751,0.009587499,-0.018576963,-0.008800991,-0.115168062,-0.385614299,-0.184798936,0.763879699,-0.248329015,-0.230448766,0.792067796,-0.702875229,-0.399530891,-0.1826061,0.834791795,-0.373724538,0.869458404,0.550514736,-0.249799778,-0.456248257,0.606151371,-0.743737047,0.671521591,-0.727019683,-0.025033247
California,-0.849618931,0.512067063,0.635873294,-0.712961066,1,0.384181494,0.14577667,0.047496488,0.757461644,-0.769926365,-0.765622699,-0.3514963,0.199860045,0.773692352,0.112100506,0.365140853,-0.221049743,-0.58630863,-0.845629874,-0.332802395,-0.473841175,-0.177754858,0.444708901,0.207877985,0.363185566,-0.805572095,-0.350732522,0.401408622,0.37001405,0.207246383,-0.039027242,0.330290816,0.149100913,0.032632736,0.590318716,-0.180834963,-0.658856137,0.14870739,0.133672391,-0.797008031,0.731831322,0.307085276,-0.354834805,-0.763056527,0.360413039,-0.621624461,-0.542500648,0.279060403,0.203867393,-0.5959111,0.655186127,-0.864607279,0.519823883,0.050013646
Colorado,-0.513245572,0.754966053,0.461186111,-0.455188337,0.384181494,1,0.059865364,-0.501981486,-0.027243458,-0.55003541,-0.539770669,-0.152042838,0.75824868,0.226913122,0.1437342,0.432450836,0.4721003,-0.393872034,-0.514943636,-0.352010749,-0.268593663,-0.478668194,-0.068280847,0.123390833,0.374645789,-0.439551568,0.223812533,0.766255077,0.670233627,0.599949575,0.467156084,0.524595612,0.23197499,-0.563906404,0.716675436,-0.382395811,-0.427451881,0.497589365,-0.02648685,-0.182596373,0.726528887,0.185908374,-0.315274975,-0.59583535,0.651493342,-0.584862432,0.151637112,0.495736151,0.160764739,-0.499625136,0.758975207,-0.295172322,0.337590952,0.669089667
Connecticut,-0.321724811,0.225961117,0.145653566,-0.603298575,0.14577667,0.059865364,1,0.241537859,0.07064332,-0.429521716,-0.568185088,0.402332926,-0.106220678,0.265898774,-0.069442315,0.129114685,-0.399134742,-0.43020431,-0.211133102,0.410358271,0.324908578,-0.084377009,0.533178343,0.703317339,0.222309372,-0.16762378,-0.133651475,-0.069298944,0.100621233,0.308758102,-0.133926395,-0.178635342,0.236898435,0.521300931,-0.153354467,0.681306393,-0.605990067,-0.020758767,0.125582778,-0.403361168,0.136490387,-0.045761405,0.745591372,-0.500095117,0.021755335,-0.667551805,-0.406185706,0.045761947,0.366585083,-0.499786203,0.261617737,-0.235099181,0.341316641,-0.140293029
Delaware,-0.052419246,-0.465318997,-0.195785686,0.049100642,0.047496488,-0.501981486,0.241537859,1,0.157126093,0.134092704,0.128605356,0.134448233,-0.401612338,0.05509469,0.27730539,-0.21631758,-0.355508637,0.291047047,-0.167857654,0.314632577,0.294900073,0.208268402,0.080828457,0.543117597,-0.060989491,-0.114762017,0.175484305,-0.320696353,-0.307455452,-0.390092722,-0.22389906,-0.110727664,0.091344123,0.322431618,-0.126147805,0.09567664,0.238264682,-0.250612146,0.213926439,-0.269190928,-0.193253449,-0.277078525,0.157585493,0.268009241,-0.248009776,0.193943773,-0.472336427,-0.469257451,0.291708066,0.246762019,-0.556104896,-0.041845928,0.05283014,-0.316959773
District of Columbia,-0.484071169,0.20891301,0.209069662,-0.583245993,0.757461644,-0.027243458,0.07064332,0.157126093,1,-0.646906202,-0.457480733,-0.175493993,-0.262918353,0.773499113,0.19787908,0.107260258,-0.482011327,-0.315813877,-0.547266371,-0.082288649,-0.360531367,0.324595793,0.212771709,0.138399072,0.135493507,-0.396717996,-0.308712314,0.072176011,-0.06148004,0.019440119,-0.525229712,-0.174953975,-0.253258631,-0.008088823,0.136667344,-0.113125742,-0.395475075,-0.270195472,0.045962782,-0.800808352,0.393044752,0.484571267,-0.14683323,-0.474048866,-0.123133111,-0.289895902,-0.441549098,0.049095194,0.28846184,-0.268511019,0.434418812,-0.587004554,0.337293936,-0.288322386
Florida,0.818934299,-0.74827219,-0.399703051,0.907436778,-0.769926365,-0.55003541,-0.429521716,0.134092704,-0.646906202,1,0.89127816,0.063316477,-0.332486092,-0.684219671,-0.173148366,-0.54414473,0.204845796,0.472862461,0.716948082,0.062406859,0.13095776,0.205645989,-0.289062976,-0.460187125,-0.652520936,0.650916374,0.103831314,-0.56373201,-0.473267067,-0.411750964,0.030121541,0.00943611,-0.008154494,0.134939687,-0.464043985,-0.008341211,0.7582212,-0.191723498,-0.264183457,0.779896955,-0.827739528,-0.387327711,-0.026732963,0.855083446,-0.412077503,0.766619285,0.446746761,-0.220090388,-0.564119311,0.725472364,-0.830353578,0.573784403,-0.730514066,-0.268557142
